Nested Sampling Global Log-Evidence           :   -0.311295341951666633E+05  +/-    0.382036257258241640E+00

Dim No.       Mean        Sigma
   1    0.105948561833397892E+01                         NaN
   2    0.835819590251191791E+01    0.687848856581097889E-07
   3    0.372751106919269604E+00    0.112078259282786301E-08
   4    0.365335977311356086E+00                         NaN
   5    0.272457495766768587E-01                         NaN
   6    0.164634469164011410E+01                         NaN
   7    0.197196537621896123E+00    0.301037257829236869E-09
   8    0.622475837178507785E+01                         NaN
   9    0.583090798402766675E-01    0.222638595002218979E-09
  10    0.191513883782869399E+01                         NaN
  11    0.529275215511758046E+00    0.315573280721958181E-08

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.105948561833397892E+01
   2    0.835819590251191791E+01
   3    0.372751106919269604E+00
   4    0.365335977311356086E+00
   5    0.272457495766768587E-01
   6    0.164634469164011410E+01
   7    0.197196537621896123E+00
   8    0.622475837178507785E+01
   9    0.583090798402766675E-01
  10    0.191513883782869399E+01
  11    0.529275215511758046E+00

MAP Parameters
Dim No.        Parameter
   1    0.105948561833397892E+01
   2    0.835819590251191791E+01
   3    0.372751106919269604E+00
   4    0.365335977311356086E+00
   5    0.272457495766768587E-01
   6    0.164634469164011410E+01
   7    0.197196537621896123E+00
   8    0.622475837178507785E+01
   9    0.583090798402766675E-01
  10    0.191513883782869399E+01
  11    0.529275215511758046E+00
